小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,24.7,南风,3,0,42,
21,24.0,南风,3,0,46,
22,23.3,西南风,3,0,50,
23,22.7,西南风,3,0,52,
00,21.6,西南风,3,0,55,
01,20.9,西南风,2,0,57,
02,20.3,南风,2,0,59,
03,19.7,南风,2,0,59,
04,19.0,西风,1,0,62,
05,18.0,西风,2,0,64,
06,17.7,西风,2,0,67,
07,18.1,西风,2,0,65,
08,20.9,西南风,3,0,56,
09,23.1,西南风,3,0,50,
10,24.3,西南风,3,0,45,
11,25.7,西南风,2,0,42,
12,27.2,西风,3,0,38,
13,28.1,西风,2,0,37,
14,28.9,南风,3,0,36,
15,29.8,西南风,3,0,33,
16,26.2,西北风,5,0,32,
17,25.0,东南风,3,0,45,
18,25.3,西北风,2,0,36,
19,25.7,北风,3,0,29,
20,24.8,北风,3,0,29,
